id,app_name,website,category,description,auth_method,self_serve,credential_requirement,api_type,api_scope,mcp_support,buildability,blocker,evidence_urlSalesforce APIs,REST API provides programmatic access to your data in Salesforce,OAuth 2.0,Unknown,Access token,REST,Unknown,Unknown,Unknown,Unknown,"https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/quickstart.htm, https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/intro_rest.htm, https://developer.salesforce.com/docs/apis",0
Salesforce APIs,REST API provides programmatic access to data in Salesforce,OAuth 2.0,Unknown,Access token,REST,Unknown,Unknown,Unknown,Unknown,"https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/quickstart.htm, https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/intro_rest.htm, https://developer.salesforce.com/docs/apis",80
CRM,HubSpot API for customer relationship management,OAuth 2.0,true,API key,REST,"crm, contacts, companies",true,high,Unknown,"https://developers.hubspot.com/docs/api-reference/latest/overview, https://developers.hubspot.com/docs, https://developers.hubspot.com/",80
CRM,Pipedrive API for building integrations and apps,"OAuth 2.0, API token",Yes,API token or OAuth 2.0 credentials,RESTful API,"Public and private apps, integrations",Unknown,High,Sanctions and trade control compliance,"https://developers.pipedrive.com/docs/api/v1, https://developers.pipedrive.com/, https://pipedrive.readme.io/docs/getting-started",80
Salesforce APIs,REST API provides programmatic access to data in Salesforce,OAuth 2.0,Unknown,Access token,REST,Unknown,Unknown,Unknown,Unknown,"https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/quickstart.htm, https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/intro_rest.htm, https://developer.salesforce.com/docs/apis",80
CRM,HubSpot API for customer relationship management,OAuth 2.0,true,API key or OAuth token,REST,"crm, contacts, companies, deals, tickets",true,high,Unknown,"https://developers.hubspot.com/docs/api-reference/latest/overview, https://developers.hubspot.com/docs, https://developers.hubspot.com/",80
CRM,Pipedrive API for building integrations and apps,"OAuth 2.0, API token",Yes,API token or OAuth 2.0 credentials,RESTful API,"Public and private apps, integrations",Unknown,High,Sanctions and trade control compliance,"https://developers.pipedrive.com/docs/api/v1, https://developers.pipedrive.com/, https://pipedrive.readme.io/docs/getting-started",80
sales,Salesforce APIs,OAuth 2.0,Yes,None,REST,Small,Yes,Self Serve,Unknown,"https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/quickstart.htm, https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/intro_rest.htm, https://developer.salesforce.com/docs/apis",1
sales,,OAuth 2.0,Self Serve,None,REST,Free text summary grounded in the documentation.,OAuth 2.0,Self Serve,Unknown,"https://developers.hubspot.com/docs/api-reference/latest/overview, https://developers.hubspot.com/docs, https://developers.hubspot.com/",0
sales,Pipedrive API,OAuth 2.0,Yes,API key,REST,Free text summary grounded in the documentation.,OAuth 2.0,Self Serve,Developer account + Connected App + OAuth,"https://developers.pipedrive.com/docs/api/v1, https://developers.pipedrive.com/, https://pipedrive.readme.io/docs/getting-started",1
sales,Salesforce APIs,OAuth 2.0,Yes,None,REST,Small,Yes,Self Serve,Unknown,"https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/quickstart.htm, https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/intro_rest.htm, https://developer.salesforce.com/docs/apis",1
sales,,OAuth 2.0,Self Serve,None,REST,Free text summary grounded in the documentation.,OAuth 2.0,Self Serve,Unknown,"https://developers.hubspot.com/docs/api-reference/latest/overview, https://developers.hubspot.com/docs, https://developers.hubspot.com/",0
sales,Pipedrive API,OAuth 2.0,Yes,API key,REST,Free text summary grounded in the documentation.,OAuth 2.0,Self Serve,Developer account + Connected App + OAuth,"https://developers.pipedrive.com/docs/api/v1, https://developers.pipedrive.com/, https://pipedrive.readme.io/docs/getting-started",1
sales,Salesforce APIs,OAuth 2.0,Self Serve,Unknown,REST,Small,Yes,Yes,None,"https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/quickstart.htm, https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/intro_rest.htm, https://developer.salesforce.com/docs/apis",1
sales,,OAuth 2.0,Self Serve,Unknown,REST,Medium,No,Yes,None,"https://developers.hubspot.com/docs/api-reference/latest/overview, https://developers.hubspot.com/docs, https://developers.hubspot.com/",0
sales,Pipedrive API,OAuth 2.0,Self Serve,API key,REST,Small,Unknown,Unknown,Unknown,"https://developers.pipedrive.com/docs/api/v1, https://developers.pipedrive.com/, https://pipedrive.readme.io/docs/getting-started",1
CRM and Sales,Known Category: CRM and Sales,OAuth 2.0,Self Serve,Unknown,REST,Medium,Yes,Yes,None,"https://developers.hubspot.com/docs/api-reference/latest/overview, https://developers.hubspot.com/docs, https://developers.hubspot.com/",0
CRM and Sales,Pipedrive API,OAuth 2.0,Self Serve,API key,REST,Small,Unknown,Unknown,Unknown,"https://developers.pipedrive.com/docs/api/v1, https://developers.pipedrive.com/, https://pipedrive.readme.io/docs/getting-started",1
CRM and Sales,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,"https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/quickstart.htm, https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/intro_rest.htm, https://developer.salesforce.com/docs/apis",1
CRM and Sales,,OAuth 2.0,Self Serve,Unknown,REST,Small,Unknown,Unknown,None,"https://developers.hubspot.com/docs/api-reference/latest/overview, https://developers.hubspot.com/docs, https://developers.hubspot.com/",0
CRM and Sales,One-line description,"OAuth 2.0, API key, Bearer token, Basic auth, Personal access token",Self Serve,Unknown,REST,Small,No,Unknown,None,"https://developers.pipedrive.com/docs/api/v1, https://developers.pipedrive.com/, https://pipedrive.readme.io/docs/getting-started",0
CRM and Sales,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,"https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/quickstart.htm, https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/intro_rest.htm, https://developer.salesforce.com/docs/apis",1
CRM and Sales,,OAuth 2.0,Self Serve,Unknown,REST,Small,Unknown,Unknown,None,"https://developers.hubspot.com/docs/api-reference/latest/overview, https://developers.hubspot.com/docs, https://developers.hubspot.com/",0
CRM and Sales,One-line description,"OAuth 2.0, API key, Bearer token, Basic auth, Personal access token",Self Serve,Unknown,REST,Small,No,Unknown,None,"https://developers.pipedrive.com/docs/api/v1, https://developers.pipedrive.com/, https://pipedrive.readme.io/docs/getting-started",0
CRM and Sales,Salesforce provides a comprehensive platform for customer relationship management and sales.,OAuth 2.0,Self Serve,Unknown,Unknown,Large,Yes,Yes,None,"https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/quickstart.htm, https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/intro_rest.htm, https://developer.salesforce.com/docs/apis",100,True,"['credential_requirement must be one of: API key, Access token, Developer account + Connected App + OAuth, OAuth credentials, Personal access token, Unknown', 'api_type must be one of: GraphQL, REST, SDK, SOAP, Unknown']"
CRM and Sales,Build custom CRM and data-driven website experiences on HubSpot.,Unknown,Self Serve,Unknown,Unknown,Unknown,Yes,Yes,None,"https://developers.hubspot.com/docs/api-reference/latest/overview, https://developers.hubspot.com/docs, https://developers.hubspot.com/",60,False,[]
CRM and Sales,"Pipedrive is a global CRM with headquarters in the USA and operations in the USA and EU, featuring an intuitive RESTful API.","OAuth 2.0, API token",Self Serve,Unknown,Unknown,Large,Yes,Yes,None,"https://developers.pipedrive.com/docs/api/v1, https://developers.pipedrive.com/, https://pipedrive.readme.io/docs/getting-started",100,True,"['credential_requirement must be one of: API key, Access token, Developer account + Connected App + OAuth, OAuth credentials, Personal access token, Unknown', 'api_type must be one of: GraphQL, REST, SDK, SOAP, Unknown']"
CRM and Sales,Salesforce provides a comprehensive platform for customer relationship management and sales.,OAuth 2.0,Self Serve,Developer account + Connected App + OAuth,REST,Large,Yes,Yes,None,"https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/quickstart.htm, https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/intro_rest.htm, https://developer.salesforce.com/docs/apis",100,False,[]
CRM and Sales,Build custom CRM and data-driven website experiences on HubSpot.,OAuth 2.0,Self Serve,Developer account + Connected App + OAuth,REST,Large,Yes,Yes,None,"https://developers.hubspot.com/docs/api-reference/latest/overview, https://developers.hubspot.com/docs, https://developers.hubspot.com/",100,False,[]
CRM and Sales,"Pipedrive is a global CRM with headquarters in the USA and operations in the USA and EU, featuring an intuitive RESTful API.",OAuth 2.0,Self Serve,Developer account + Connected App + OAuth,REST,Medium,Yes,Yes,None,"https://developers.pipedrive.com/docs/api/v1, https://developers.pipedrive.com/, https://pipedrive.readme.io/docs/getting-started",100,False,[]
CRM and Sales,Salesforce provides a comprehensive platform for customer relationship management and sales.,OAuth 2.0,Self Serve,Developer account + Connected App + OAuth,REST,Large,Yes,Yes,None,"https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/quickstart.htm, https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/intro_rest.htm, https://developer.salesforce.com/docs/apis",100,False,[]
CRM and Sales,Build custom CRM and data-driven website experiences on HubSpot.,OAuth 2.0,Self Serve,Developer account + Connected App + OAuth,REST,Large,Yes,Yes,None,"https://developers.hubspot.com/docs/api-reference/latest/overview, https://developers.hubspot.com/docs, https://developers.hubspot.com/",100,False,[]
CRM and Sales,"Pipedrive is a global CRM with headquarters in the USA and operations in the USA and EU, featuring an intuitive RESTful API.",OAuth 2.0,Self Serve,Developer account + Connected App + OAuth,REST,Medium,Yes,Yes,None,"https://developers.pipedrive.com/docs/api/v1, https://developers.pipedrive.com/, https://pipedrive.readme.io/docs/getting-started",100,False,[]
CRM and Sales,Build custom CRM and data-driven website experiences on HubSpot.,OAuth 2.0,Self Serve,Developer account + Connected App + OAuth,REST,Small,Unknown,Yes,None,"https://developers.hubspot.com/docs/api-reference/latest/overview, https://developers.hubspot.com/docs, https://developers.hubspot.com/",87,False,[]
Communications and Messaging,"Welcome to the Slack API docs, the place where ideas turn into interactive apps, workflows get automated, and Slack becomes the platform that powers your workday.",OAuth 2.0,Self Serve,Developer account + Connected App + OAuth,REST,Medium,Unknown,Yes,None,"https://docs.slack.dev/, https://api.slack.com/authentication/basics, https://docs.slack.dev/apis/web-api/",87,False,[]
Finance and Fintech,,OAuth 2.0,Self Serve,Developer account + Connected App + OAuth,REST,Small,Unknown,Yes,None,"https://docs.stripe.com/api, https://docs.stripe.com/api/authentication, https://docs.stripe.com/get-started",74,False,[]
"Developer, Infra and Data platforms",GitHub REST API,"OAuth 2.0, API token, Bearer token, Personal access token",Self Serve,Personal access token,REST,Small,Unknown,Yes,None,"https://docs.github.com/en/rest/authentication/authenticating-to-the-rest-api, https://docs.github.com/rest/guides/getting-started-with-the-rest-api, https://docs.github.com/en/rest",87,False,[]
Ecommerce,,OAuth 2.0,Self Serve,Developer account + Connected App + OAuth,REST,Medium,Unknown,Yes,None,"https://shopify.dev/docs/api/usage/authentication, https://shopify.dev/docs/apps/build/authentication-authorization, https://praella.com/blogs/shopify-insights/mastering-shopify-api-authentication-a-comprehensive-guide",74,False,[]
Productivity and Project Management,,Personal access token,Self Serve,Personal access token,REST,Small,Unknown,Yes,None,"https://developers.notion.com/guides/get-started/overview, https://developers.notion.com/guides/get-started/quick-start, https://developers.notion.com/guides/get-started/authorization",74,False,[]
Support and Helpdesk,,"OAuth 2.0, API token, OAuth access token",Unknown,Developer account + Connected App + OAuth,REST,Medium,Unknown,Yes,None,"https://developer.zendesk.com/api-reference/introduction/security-and-auth/, https://developer.zendesk.com/api-reference/, https://developer.zendesk.com/documentation/",56,True,"['credential_requirement must be one of: API key, API token, Access token, Developer account + Connected App + OAuth, OAuth credentials, Personal access token, Unknown']"
Communications and Messaging,"Build better and engage your customers across all channels with our API reference documentation, quickstarts, SDKs and multi-language code samples.",OAuth 2.0,Self Serve,Developer account + Connected App + OAuth,REST,Small,Unknown,Yes,None,"https://www.twilio.com/docs, https://www.twilio.com/docs/iam/api, https://www.twilio.com/docs/messaging/api",87,False,[]
"Developer, Infra and Data platforms",,OAuth 2.0,Self Serve,OAuth credentials,REST,Very Large,Unknown,Yes,None,"https://www.mongodb.com/docs/atlas/api/api-authentication/, https://www.mongodb.com/docs/atlas/api/atlas-admin-api-ref/, https://www.mongodb.com/docs/api/doc/atlas-admin-api-v2/",74,False,[]
CRM and Sales,Salesforce provides a comprehensive platform for customer relationship management and sales.,OAuth 2.0,Self Serve,Developer account + Connected App + OAuth,REST,Large,Unknown,Yes,None,"https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/quickstart.htm, https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/intro_rest.htm, https://developer.salesforce.com/docs/apis",87,False,[]
CRM and Sales,Build custom CRM and data-driven website experiences on HubSpot.,OAuth 2.0,Self Serve,Developer account + Connected App + OAuth,REST,Medium,Unknown,Yes,None,"https://developers.hubspot.com/docs/api-reference/latest/overview, https://developers.hubspot.com/docs, https://developers.hubspot.com/",87,False,[]
Communications and Messaging,"Welcome to the Slack API docs, the place where ideas turn into interactive apps, workflows get automated, and Slack becomes the platform that powers your workday.",OAuth 2.0,Self Serve,Developer account + Connected App + OAuth,REST,Medium,Unknown,Yes,None,"https://docs.slack.dev/, https://api.slack.com/authentication/basics, https://docs.slack.dev/apis/web-api/",87,False,[]
Finance and Fintech,Stripe API,OAuth 2.0,Self Serve,Developer account + Connected App + OAuth,REST,Very Large,Unknown,Yes,None,"https://docs.stripe.com/api, https://docs.stripe.com/api/authentication, https://docs.stripe.com/get-started",87,False,[]
"Developer, Infra and Data platforms",GitHub REST API,"OAuth 2.0, API token, Bearer token, Personal access token",Self Serve,Personal access token,REST,Small,Unknown,Yes,None,"https://docs.github.com/en/rest/authentication/authenticating-to-the-rest-api, https://docs.github.com/rest/guides/getting-started-with-the-rest-api, https://docs.github.com/en/rest",87,False,[]
Ecommerce,,OAuth 2.0,Self Serve,Developer account + Connected App + OAuth,REST,Medium,Unknown,Yes,None,"https://shopify.dev/docs/api/usage/authentication, https://shopify.dev/docs/apps/build/authentication-authorization, https://praella.com/blogs/shopify-insights/mastering-shopify-api-authentication-a-comprehensive-guide",74,False,[]
Productivity and Project Management,,Personal access token,Self Serve,Personal access token,REST,Small,Unknown,Yes,None,"https://developers.notion.com/guides/get-started/overview, https://developers.notion.com/guides/get-started/quick-start, https://developers.notion.com/guides/get-started/authorization",74,False,[]
Support and Helpdesk,,"OAuth 2.0, API token, OAuth access token",Unknown,Developer account + Connected App + OAuth,REST,Medium,Unknown,Yes,None,"https://developer.zendesk.com/api-reference/introduction/security-and-auth/, https://developer.zendesk.com/api-reference/, https://developer.zendesk.com/documentation/",56,True,"['credential_requirement must be one of: API key, API token, Access token, Developer account + Connected App + OAuth, OAuth credentials, Personal access token, Unknown']"
Communications and Messaging,"Build better and engage your customers across all channels with our API reference documentation, quickstarts, SDKs and multi-language code samples.",OAuth 2.0,Self Serve,Developer account + Connected App + OAuth,REST,Small,Unknown,Yes,None,"https://www.twilio.com/docs, https://www.twilio.com/docs/iam/api, https://www.twilio.com/docs/messaging/api",87,False,[]
"Developer, Infra and Data platforms",,OAuth 2.0,Self Serve,OAuth credentials,REST,Very Large,Unknown,Yes,None,"https://www.mongodb.com/docs/atlas/api/api-authentication/, https://www.mongodb.com/docs/atlas/api/atlas-admin-api-ref/, https://www.mongodb.com/docs/api/doc/atlas-admin-api-v2/",74,False,[]
